组播频道,#genre#
CCTV8,http://116.179.130.242:6000/rtp/226.0.2.211:9600$(山西忻州1)
CCTV9,http://116.179.130.242:6000/rtp/226.0.2.161:9200$(山西忻州1)
CCTV10,http://116.179.130.242:6000/rtp/226.0.2.162:9208$(山西忻州1)
CCTV12,http://116.179.130.242:6000/rtp/226.0.2.164:9224$(山西忻州1)
CCTV13,http://116.179.130.242:6000/rtp/226.0.2.165:9232$(山西忻州1)
CCTV14,http://116.179.130.242:6000/rtp/226.0.2.166:9240$(山西忻州1)
CCTV16,http://116.179.130.242:6000/rtp/226.0.2.169:9264$(山西忻州1)
CCTV17,http://116.179.130.242:6000/rtp/226.0.2.170:9272$(山西忻州1)

CCTV1,http://116.179.130.242:6001/rtp/226.0.2.153:9136$(山西忻州2)
CCTV2,http://116.179.130.242:6001/rtp/226.0.2.154:9144$(山西忻州2)
CCTV3,http://116.179.130.242:6001/rtp/226.0.2.208:9576$(山西忻州2)
CCTV4,http://116.179.130.242:6001/rtp/226.0.2.156:9160$(山西忻州2)
CCTV5,http://116.179.130.242:6001/rtp/226.0.2.209:9584$(山西忻州2)
CCTV5+,http://116.179.130.242:6001/rtp/226.0.2.168:9256$(山西忻州2)
CCTV6,http://116.179.130.242:6001/rtp/226.0.2.210:9592$(山西忻州2)
CCTV7,http://116.179.130.242:6001/rtp/226.0.2.159:9184$(山西忻州2)
CCTV8,http://116.179.130.242:6001/rtp/226.0.2.211:9600$(山西忻州2)
CCTV9,http://116.179.130.242:6001/rtp/226.0.2.161:9200$(山西忻州2)
CCTV10,http://116.179.130.242:6001/rtp/226.0.2.162:9208$(山西忻州2)
CCTV12,http://116.179.130.242:6001/rtp/226.0.2.164:9224$(山西忻州2)
CCTV13,http://116.179.130.242:6001/rtp/226.0.2.165:9232$(山西忻州2)
CCTV14,http://116.179.130.242:6001/rtp/226.0.2.166:9240$(山西忻州2)
CCTV16,http://116.179.130.242:6001/rtp/226.0.2.169:9264$(山西忻州2)
CCTV17,http://116.179.130.242:6001/rtp/226.0.2.170:9272$(山西忻州2)

CCTV1,http://183.184.61.177:8082/rtp/226.0.2.153:9136$(山西太原1)
CCTV2,http://183.184.61.177:8082/rtp/226.0.2.154:9144$(山西太原1)
CCTV3,http://183.184.61.177:8082/rtp/226.0.2.208:9576$(山西太原1)
CCTV4,http://183.184.61.177:8082/rtp/226.0.2.156:9160$(山西太原1)
CCTV5,http://183.184.61.177:8082/rtp/226.0.2.209:9584$(山西太原1)
CCTV5+,http://183.184.61.177:8082/rtp/226.0.2.168:9256$(山西太原1)
CCTV6,http://183.184.61.177:8082/rtp/226.0.2.210:9592$(山西太原1)
CCTV7,http://183.184.61.177:8082/rtp/226.0.2.159:9184$(山西太原1)
CCTV8,http://183.184.61.177:8082/rtp/226.0.2.211:9600$(山西太原1)
CCTV9,http://183.184.61.177:8082/rtp/226.0.2.161:9200$(山西太原1)
CCTV10,http://183.184.61.177:8082/rtp/226.0.2.162:9208$(山西太原1)
CCTV12,http://183.184.61.177:8082/rtp/226.0.2.164:9224$(山西太原1)
CCTV13,http://183.184.61.177:8082/rtp/226.0.2.165:9232$(山西太原1)
CCTV14,http://183.184.61.177:8082/rtp/226.0.2.166:9240$(山西太原1)
CCTV16,http://183.184.61.177:8082/rtp/226.0.2.169:9264$(山西太原1)
CCTV17,http://183.184.61.177:8082/rtp/226.0.2.170:9272$(山西太原1)

CCTV1,http://183.184.61.177:8083/rtp/226.0.2.153:9136$(山西太原2)
CCTV2,http://183.184.61.177:8083/rtp/226.0.2.154:9144$(山西太原2)
CCTV3,http://183.184.61.177:8083/rtp/226.0.2.208:9576$(山西太原2)
CCTV4,http://183.184.61.177:8083/rtp/226.0.2.156:9160$(山西太原2)
CCTV5,http://183.184.61.177:8083/rtp/226.0.2.209:9584$(山西太原2)
CCTV5+,http://183.184.61.177:8083/rtp/226.0.2.168:9256$(山西太原2)
CCTV6,http://183.184.61.177:8083/rtp/226.0.2.210:9592$(山西太原2)
CCTV7,http://183.184.61.177:8083/rtp/226.0.2.159:9184$(山西太原2)
CCTV8,http://183.184.61.177:8083/rtp/226.0.2.211:9600$(山西太原2)
CCTV9,http://183.184.61.177:8083/rtp/226.0.2.161:9200$(山西太原2)
CCTV10,http://183.184.61.177:8083/rtp/226.0.2.162:9208$(山西太原2)
